PersonId,NumOrgs,NumPrivateOrgs,NumProjects,TotalMoney,PrivateMoney
00B0B629-A5F3-4C8D-827C-0746AC45A136,3,1.366818441591,2,0.478424E6,108986.45768328877
00B275F4-1061-42FD-BF51-4F74D44A1328,2,0.7853342298629999,1,0.53714605E6,210919.58975035124
00B2B015-656C-4992-8D75-0E14D8615C53,13,6.8504956124700005,5,0.1753259226E7,139085.40710390318
00B37D9D-18EC-403F-9858-3BCE96DA77F7,6,2.84908282998,3,0.31913024E6,44607.278965117126
00B546EC-DFF8-4B25-9DE9-9105B11A4F86,7,3.760717694768,3,0.1269777826E7,263037.9527602233
00BC2605-BBB3-4538-AC1B-A843FF9CC556,2,1.24,1,0.100339E6,62210.18
00BCD652-064B-434B-958E-44051011FCD3,5,4.409312728196,1,0.499027E6,440073.2205626931
00BF17C0-2B91-400E-BA32-192508A9FE26,2,0.9012993648509999,3,0.743986918E6,111759.15610847548
00C19786-43A4-40E7-811B-EDCF7A499BC2,2,1.0137761645549999,1,0.237136376E6,120201.60286887616
00C3300D-329C-4C49-9E8B-A0CE375EC573,5,1.70495119887,2,0.48145325E6,109352.33977448173
00C590A6-B3AD-426D-8D93-9CF182D91C68,2,0.9012993648509999,1,0.7382336E5,33268.47373958336
00C70A76-7415-4F50-AF5C-E16A41C28266,2,0.9012993648509999,1,0.323943E6,145984.81007396374
00C76A08-2DBF-4FAE-B494-7D1971F2374A,2,0.690864585831,1,0.15150093E6,52333.313628730655
00CA4727-AE27-4313-8326-D8268B7FFB69,2,0.576697703415,1,0.12595228E6,36318.19530794152
00CC408C-B238-440A-88AD-AD551D498104,18,8.177501364314002,7,0.1681309566E7,109862.38609243436
00CD206D-1F00-4050-ABC8-D4F9DEF94A15,4,1.4564566221709998,2,0.24145768E6,37760.007873560644
00CE7611-3A0D-4EBC-B527-9957CCCE53A0,9,3.4651114493910002,5,0.1510724378E7,125967.75434720733
00D053E2-B7A8-45F9-A7B0-2A823883ACC0,20,12.077980362824,9,0.18517547032E8,1225456.8111127657
00D3811E-1969-4BF8-8A03-0A47FA9ABFF3,2,1.1428038220499999,1,0.91296412E6,521669.4428652574
00D4C471-7DA4-4A60-989C-516B6E9309AC,5,1.661821301175,5,0.46429257992E7,279329.0767025021
00D5781F-20B7-4479-8757-A89C30A3E592,2,0.533515641261,2,0.66915E5,8925.049783744955
00DD489A-0D84-435C-924B-CB675F4B2320,5,2.969377426577,2,0.341995244E7,616810.9132212744
00DE7880-BA72-44FB-8AAF-B668B45144A8,21,9.959219135127999,24,0.619322E6,12063.214919956721
00E1285E-E0A8-4983-848B-7D95A754C012,3,1.27556243037,1,0.13154476E6,55931.18458934612
00E18690-E94A-4856-9BE5-718E7879DC2E,2,1.176531139823,1,0.15628998E6,91940.01415615695
00E18B82-EB3D-4031-A1CB-E0759B2F28B2,2,1.24,1,0.8078596E5,50087.2952
00E22FD9-05D8-4F7E-9597-3CC5B517FEA2,2,1.0137761645549999,2,0.28988276E6,68004.19233447252
